title,developers,genres,platforms
Part Time UFO,HAL Laboratory,Puzzle,Unknown
Phantom Crash,Genki (company),Vehicular combat game,Xbox (console)
Picnic Paranoia,Unknown,Action game,"Apple II, Atari 8-bit computers, 4A"
Pirates: The Key of Dreams,Oxygen Studios,Shoot 'em up,Wii
Pit Crew Panic!,Hudson Soft,Puzzle video game,WiiWare
Plan 9 from Outer Space (video game),Gremlin Interactive,Adventure game,"Amiga, Atari ST, DOS"
Pleiades (arcade game),Tecmo,Fixed shooter,Arcade video game
Plättchen Twist 'n' Paint,Bplus,Puzzle video game,Wii
Pocket Pool,HyperDevbox Japan,Sport,PlayStation Portable
Pocky & Rocky with Becky,Altron,Shoot 'em up,Game Boy Advance
"Pokémon Red, Blue, and Yellow",Game Freak,Role-playing video game,Game Boy
Prey 2,Human Head Studios,First-person shooter,"Microsoft Windows, PlayStation 3, Xbox 360"
Progear,Cave (company),Shoot 'em up,"Arcade game, Au (mobile phone company), I-mode, Yahoo Mobile"
Project Snowblind,Crystal Dynamics,"cyberpunk video game, first-person shooter",Microsoft Windows
Quazatron,Graftgold,action game,ZX Spectrum
R-Type,"Compile, Irem","science fiction video game, shoot 'em up","Android, ZX Spectrum, iOS, Commodore 64, Commodore Amiga, Java virtual machine, PC Engine SuperGrafx, arcade video game machine, Atari ST, Amstrad CPC, TurboGrafx-16, MSX"
R-Type Final,Irem,Shoot 'em up,PlayStation 2
Reel Fishing: Wild,Westone Bit Entertainment,Sports video game,Dreamcast
Renegade,Technōs Japan Corporation,beat 'em up,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Nintendo Entertainment System, Amstrad CPC"
Retro Goal,New Star Games,Sports video game,"Android (operating system), IOS, Nintendo Switch"
Robot Tank,Activision,Shoot 'em up,Atari 2600
Rockman Battle & Fighters,Capcom,Fighting game,Neo Geo Pocket Color
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,"post-apocalyptic video game, science fiction video game, survival horror, first-person shooter",Microsoft Windows
Sea Power: Naval Combat in the Missile Age,Unknown,"Real-time tactics, Simulation video game",Microsoft Windows
Secret of Evermore,Square (video game company),Action role-playing game,Super Nintendo Entertainment System
Sensible Soccer,Unknown,Unknown,Unknown
Shin Megami Tensei: Imagine,"Cave (company), GungHo Online Entertainment",Massively multiplayer online role-playing game,Microsoft Windows
Shiren the Wanderer (2008 video game),Spike Chunsoft,"Roguelike, Role-playing video game","PlayStation Portable, Wii"
Silent Hunter (video game),Unknown,Submarine simulator,MS-DOS
Sleeping Dogs (video game),United Front Games,Action-adventure game,"MacOS, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One"
Sokobond Express,Unknown,Puzzle video game,Unknown
Sonic Speed Simulator,Gamefam,"Incremental game, Massively multiplayer online game, Platformer","Android (operating system), IOS, MacOS, Microsoft Windows, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X and Series S"
Space Invaders (Atari 2600 video game),"Atari, _Inc.",Fixed shooter,Atari 2600
Spider-Man: Friend or Foe,Unknown,"Action-adventure game, Beat 'em up, Platformer","Microsoft Windows, Nintendo DS, PlayStation 2, PlayStation Portable, Wii, Xbox 360"
Splatoon 3: Side Order,Nintendo Entertainment Planning & Development,"Roguelike, Third-person shooter",Nintendo Switch
Star Wars Episode I: Racer,Lucasfilm Games,racing video game,"Microsoft Windows, Game Boy Color, Nintendo 64, PlayStation 4, Classic Mac OS"
Star Wars Galaxies,Daybreak Game Company,"science fiction video game, role-playing video game, massively multiplayer online role-playing game",Microsoft Windows
Star Wars Jedi Knight II: Jedi Outcast,Raven Software,"third-person shooter, first-person shooter","Microsoft Windows, macOS, Nintendo GameCube, PlayStation 4, Classic Mac OS"
Star Wars Jedi Knight: Dark Forces II,Lucasfilm Games,first-person shooter,Microsoft Windows
